dataset,observable,input_val,ideal_energy,grad_param_0,grad_param_1,grad_param_2,grad_param_3,grad_param_4,grad_param_5,grad_param_6,grad_param_7,grad_param_8,grad_param_9,grad_param_10,grad_param_11
single_01,IIII,3.699999999999969,1.0000000000000009,0.0,-4.440892098500626e-16,0.0,-8.881784197001252e-16,-4.440892098500626e-16,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0
single_01,IIII,3.7999999999999687,1.0000000000000004,-4.440892098500626e-16,-4.440892098500626e-16,-8.881784197001252e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0
single_01,IIII,3.8999999999999684,1.0000000000000004,-8.881784197001252e-16,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,8.881784197001252e-16,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0
single_01,IIII,3.999999999999968,1.0000000000000004,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,8.881784197001252e-16,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,4.099999999999968,1.0000000000000009,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
single_01,IIII,4.199999999999967,1.0000000000000004,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,4.299999999999967,0.9999999999999982,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-6.661338147750939e-16,-2.220446049250313e-16,-4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0
single_01,IIII,4.399999999999967,0.9999999999999987,8.881784197001252e-16,-4.440892098500626e-16,-1.3322676295501878e-15,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,0.0,-2.220446049250313e-16,-4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16
single_01,IIII,4.499999999999966,0.9999999999999998,0.0,2.220446049250313e-16,2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16
single_01,IIII,4.599999999999966,1.0,0.0,-6.661338147750939e-16,2.220446049250313e-16,0.0,0.0,8.881784197001252e-16,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0
single_01,IIII,4.6999999999999655,1.0000000000000009,-4.440892098500626e-16,0.0,0.0,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0
single_01,IIII,4.799999999999965,0.9999999999999998,0.0,-8.881784197001252e-16,2.220446049250313e-16,6.661338147750939e-16,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-16,-6.661338147750939e-16,-4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,4.899999999999965,0.9999999999999993,6.661338147750939e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,6.661338147750939e-16,0.0,-4.440892098500626e-16,0.0,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
single_01,IIII,4.9999999999999645,0.9999999999999998,6.661338147750939e-16,0.0,-2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0
single_02,IIIZ,-5.0,-0.6164089814151283,0.055479603016860835,0.7205097421492149,-0.03942228266568004,2.220446049250313e-16,-0.005192323830548795,0.37956803886022417,2.220446049250313e-16,2.220446049250313e-16,0.6264011931081872,0.0,0.0,-1.1102230246251565e-16
single_02,IIIZ,-4.9,-0.4126385518645446,0.09271801069996966,0.8552060578145604,-0.011904197327894661,4.996003610813204e-16,0.06355188587674654,0.2981045197075068,-3.885780586188048e-16,6.106226635438361e-16,0.8164311535672486,2.220446049250313e-16,5.551115123125783e-17,-5.551115123125783e-17
single_02,IIIZ,-4.800000000000001,-0.1874298317219373,0.0670667492843191,0.9363054147751,-0.0012723856159444769,-1.6653345369377348e-16,0.060101239725632694,0.15763578813650553,5.551115123125783e-17,-8.326672684688674e-17,0.9283551223488129,2.7755575615628914e-17,-2.7755575615628914e-17,0.0
single_02,IIIZ,-4.700000000000001,0.024462846022336032,-0.012166796149809658,0.9584114546578231,3.6456183184624402e-06,-1.249000902703301e-16,-0.012314848525434297,-0.023896704103536517,-9.71445146547012e-17,2.0816681711721685e-17,0.9582661253430123,2.7755575615628914e-17,-4.163336342344337e-17,2.0816681711721685e-17
single_02,IIIZ,-4.600000000000001,0.19407030838922817,-0.1267456503920342,0.9242998353477228,0.002662802249842555,-4.440892098500626e-16,-0.13932448053123042,-0.22094607371665112,2.220446049250313e-16,5.551115123125783e-17,0.913650929654868,8.326672684688674e-17,0.0,5.551115123125783e-17
single_02,IIIZ,-4.500000000000002,0.3023593509025962,-0.2541914443437254,0.8432075660746337,0.01697150739861175,-2.7755575615628914e-16,-0.299244500480829,-0.40568290812846564,-1.1102230246251565e-16,-1.6653345369377348e-16,0.8101406792218829,0.0,-5.551115123125783e-17,1.6653345369377348e-16
